name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,genre
next door (feat. ASTN),next door (feat. ASTN),Amelia Moore,9/23/2022,208313,58,0.522,0.768,0.488,0.00358,0.108,-6.278,0.039,102.002,0.631,4,6,1,spotify:track:08HGey7e94Ez3ZurG1IXTP,2022,r&b
IT'S NOT THAT SERIOUS,IT'S NOT THAT SERIOUS,ASTN,6/4/2021,140950,44,0.57,0.771,0.0999,0.00101,0.0859,-13.244,0.0499,143.829,0.143,3,2,1,spotify:track:0L3KqlhJGIqpcX6eAC55rX,2021,r&b
Schönefeld,Bicoastal,Bathe,10/15/2021,78506,62,0.441,0.538,0.506,0.247,0.599,-10.119,0.0711,80.515,0.38,3,7,0,spotify:track:46FVGaksSxksaWQ0InPzDB,2021,r&b
CPR,Last Day Of Summer,Summer Walker,10/19/2018,203240,60,0.637,0.693,0.369,0.00335,0.0951,-12.683,0.175,140.148,0.141,4,7,0,spotify:track:5Tp4UJvnsF4Zd05k0zXUte,2018,r&b
Buyer's Remorse (feat. Omar Apollo),NEVER ENOUGH,Daniel Caesar,4/7/2023,152170,56,0.938,0.559,0.22,9.65E-05,0.177,-11.006,0.0527,113.621,0.164,4,5,0,spotify:track:3fHwrZ7pLD4cykAj3n9Lc1,2023,r&b
If I Ain't Got You,The Diary Of Alicia Keys,Alicia Keys,12/2/2003,228706,83,0.603,0.609,0.444,6.86E-06,0.104,-9.129,0.106,118.402,0.166,3,7,1,spotify:track:3XVBdLihbNbxUwZosxcGuJ,2003,r&b
No One,No One (Remixes),Alicia Keys,10/9/2007,254523,74,0.027,0.641,0.552,4.63E-06,0.148,-5.423,0.0283,90.098,0.152,4,1,0,spotify:track:0mZ5GyrHG908lqrHaTw4hi,2007,r&b
Damage,Damage,H.E.R.,10/21/2020,223414,56,0.113,0.646,0.696,0,0.115,-6.505,0.065,81.336,0.18,4,1,1,spotify:track:0KS2h61pHQ4WmOwruD7uxD,2020,r&b
DEAD MAN WALKING,WASTELAND,Brent Faiyaz,7/8/2022,247079,71,0.303,0.51,0.272,0,0.0958,-13.763,0.0557,143.984,0.435,4,9,0,spotify:track:2c2tlXfEmLgUNvxngIi1qL,2022,r&b
Moonlight,Red Moon In Venus,Kali Uchis,3/3/2023,187723,78,0.518,0.642,0.706,0,0.243,-6.832,0.0507,136.854,0.86,4,7,0,spotify:track:0JmnkIqdlnUzPaf8sqBRs3,2023,r&b
Say My Name,The Writing's On The Wall,Destiny's Child,7/27/1999,271333,79,0.273,0.713,0.678,0,0.149,-3.525,0.102,138.009,0.734,4,5,0,spotify:track:7H6ev70Weq6DdpZyyTmUXk,1999,r&b
Twisted,Keith Sweat,Keith Sweat,1996,260666,66,0.393,0.615,0.514,0,0.248,-9.759,0.0466,175.849,0.822,4,11,1,spotify:track:69QIVIjPMnI1ABLBqh9P1b,1996,r&b
Nice & Slow - Ryan James Carr Remake,My Way (25th Anniversary Edition),USHER,9/16/2022,192064,35,0.0114,0.569,0.573,0,0.107,-7.687,0.172,132.954,0.798,4,1,1,spotify:track:31YudjfCQCpRYDeDMskWGh,2022,r&b
Butterfly,Butterfly: 25th Anniversary Expanded Edition,Mariah Carey,9/16/2022,273925,36,0.605,0.534,0.53,0,0.0973,-7.292,0.0309,107.889,0.163,4,2,1,spotify:track:4FgJSRvSafjvKDonVzpRnM,2022,r&b
Come & Talk To Me,Forever My Lady,Jodeci,5/28/1991,276266,57,0.223,0.61,0.571,0,0.366,-14.77,0.09,172.099,0.84,4,7,1,spotify:track:63uR29DnkNPUiorL30cHnj,1991,r&b
You Make Me Wanna...,My Way (25th Anniversary Edition),USHER,9/16/2022,219400,49,0.0269,0.751,0.62,0,0.0807,-8.743,0.0536,164.11,0.932,4,5,0,spotify:track:5AQcMYiXysWVDKAUOPWF4D,2022,r&b
Brown Sugar,Brown Sugar,D'Angelo,7/3/1995,262893,57,0.529,0.717,0.486,0.0318,0.102,-8.342,0.169,83.077,0.579,4,9,1,spotify:track:7rt0kEDWRg3pgTZJKuszoE,1995,r&b
wherever u r (ft. V of BTS),wherever u r (ft. V of BTS),UMI,12/30/2023,153034,69,0.78,0.642,0.434,3.01E-06,0.109,-9.178,0.0558,104.846,0.484,3,8,1,spotify:track:1k255f17DRuRbGrfz5Ifmd,2023,r&b
Butterfly,Butterfly,UMI,3/9/2018,160500,53,0.255,0.785,0.27,0.00132,0.0953,-14.457,0.0892,131.894,0.12,4,5,1,spotify:track:4qkVALwOxCIEZ7I5gkZ3m4,2018,r&b
Traingazing,Breathe,Sam Wills,6/4/2021,214159,63,0.693,0.852,0.362,0.00536,0.14,-10.055,0.0664,137.542,0.562,4,11,1,spotify:track:49QEJdbU9mf4VUXReOpZ9u,2021,r&b
Easy,Drive Slow,Mac Ayres,8/11/2017,314357,59,0.373,0.722,0.281,0.00509,0.147,-7.487,0.104,91.368,0.237,4,5,1,spotify:track:58dSdjfEYNSxte1aNVxuNf,2017,r&b
Get Away,Juicebox,Mac Ayres,8/16/2019,308825,43,0.287,0.676,0.672,3.67E-05,0.103,-4.557,0.07,87.687,0.322,4,6,1,spotify:track:5rlN7kWG5R7de0emQYkXaS,2019,r&b
Summertime - Live,Juicebox,Mac Ayres,8/16/2019,214628,32,0.234,0.382,0.595,0,0.097,-7.52,0.0633,119.838,0.179,4,11,0,spotify:track:5Llj7L242grS200b1qEepJ,2019,r&b
