Song Name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfccs_mean_0,mfccs_std_0,mfccs_mean_1,mfccs_std_1,mfccs_mean_2,mfccs_std_2,mfccs_mean_3,mfccs_std_3,mfccs_mean_4,mfccs_std_4,mfccs_mean_5,mfccs_std_5,mfccs_mean_6,mfccs_std_6,mfccs_mean_7,mfccs_std_7,mfccs_mean_8,mfccs_std_8,mfccs_mean_9,mfccs_std_9,mfccs_mean_10,mfccs_std_10,mfccs_mean_11,mfccs_std_11,mfccs_mean_12,mfccs_std_12
Disillusioned (with serpentwithfeet),NEVER ENOUGH,Daniel Caesar,4/7/2023,241232,62,0.0754,0.792,0.548,1.02e-05,0.0581,-3.899,0.0366,97.0,0.619,4,9,1,spotify:track:4YsnwsPURRSvprBHBY1BCd,2023,0.34282243,0.3899526,0.3433432,0.33949667,0.39262715,0.32402608,0.3318483,0.24377128,0.37967795,0.43496716,0.35904542,0.3921674,0.2879851,0.34285673,0.31340864,0.31256592,0.34473065,0.27616227,0.31582966,0.2176896,0.31731302,0.34282517,0.30883753,0.34400484,-78.34945,109.9496,74.68137,41.50337,8.254713,37.012314,26.174252,24.345007,-1.7827657,17.33741,4.842433,14.827115,-1.6943673,12.830642,4.113174,11.650901,-5.9408712,11.759486,-2.5618885,11.591328,-4.60707,9.778096,-4.403293,10.284814,-3.8335161,8.658251
Distance - Volac Remix,Distance (Volac Remix),Apashe,1/8/2021,215390,53,0.0398,0.819,0.824,0.263,0.255,-5.434,0.0565,126.007,0.463,4,0,1,spotify:track:42BdPV3FB2HVsvdokaIDJt,2021,0.6630278,0.4995315,0.48842546,0.39279515,0.35739797,0.35454664,0.36317256,0.55785817,0.4515944,0.4091647,0.44249734,0.46608067,0.339091,0.26686603,0.31978393,0.26742914,0.27262664,0.28970346,0.25744253,0.32723248,0.2929133,0.30034554,0.29508,0.2529082,-68.122314,80.84664,82.11358,49.192104,0.8693501,33.072903,29.440342,17.096163,8.042425,13.733732,14.03295,12.493053,-0.52662235,8.849113,7.5725937,10.281514,0.27071053,9.027394,4.0595345,9.202088,-2.7146502,9.709331,6.097978,8.042422,2.2218268,10.283369
Do It Like That,The Name Chapter: FREEFALL,TOMORROW X TOGETHER,10/13/2023,145065,63,0.0103,0.776,0.92,0.0,0.325,-3.246,0.0548,119.989,0.842,4,5,0,spotify:track:0XM1XnOYv8BkFPFVCU8ZjX,2023,0.46091655,0.42634457,0.3531653,0.3919959,0.4181236,0.5367219,0.43416572,0.481451,0.56984603,0.47033477,0.46408018,0.3820636,0.31119528,0.30791903,0.26023772,0.29065153,0.27256784,0.33515736,0.2758088,0.2972103,0.33392262,0.27967525,0.31105974,0.2678404,-6.9434056,73.1476,47.66232,27.318785,14.526663,24.18083,24.540222,18.61379,7.560161,16.462955,11.897066,13.220455,-3.1781356,12.685939,8.203233,10.009377,1.0269232,9.683429,10.249679,10.1671,1.4141324,8.935201,1.9811169,8.419037,-0.70992154,8.190998
Do It To It - Tiësto Remix,Do It To It (Tiësto Remix),ACRAZE,2/25/2022,125280,59,0.000422,0.636,0.892,0.0954,0.156,-5.573,0.0386,125.003,0.456,4,2,1,spotify:track:2XKsHHNCtKqk9cF35TRFyC,2022,0.4842985,0.47015145,0.63578856,0.61747366,0.43502092,0.39029533,0.4227154,0.42815092,0.3809691,0.4747662,0.5004968,0.48837298,0.30067432,0.24867885,0.3017532,0.28901708,0.2600223,0.27691,0.281411,0.29567963,0.2702644,0.3039923,0.27647877,0.29368585,-33.939644,73.482155,66.70497,32.521473,2.8375854,22.887712,19.417852,15.686292,7.834388,14.174069,7.4903665,13.512276,0.07194327,10.746513,9.929655,9.601838,-2.1320636,9.226861,9.052986,8.664468,-1.8096803,8.775856,6.5608215,7.7830973,-2.933002,7.0955677
Don't Cry (Original),Use Your Illusion I,Guns N' Roses,9/17/1991,283733,76,0.00184,0.455,0.589,0.00358,0.104,-8.64,0.0328,124.634,0.254,4,11,1,spotify:track:2N2yrmodOnVF10mKvItC9P,1991,0.37396428,0.4107935,0.3426202,0.43440193,0.35850427,0.36008298,0.4753493,0.41934666,0.5120187,0.3956302,0.46304682,0.4673234,0.24741992,0.30422595,0.24234092,0.29788882,0.2545944,0.2486419,0.30943424,0.27098802,0.31476158,0.24871661,0.28546348,0.3144233,-77.455025,98.48254,92.53478,31.335865,-24.69656,19.470798,24.18976,14.350124,10.538742,14.998008,13.385312,12.3996935,-1.604873,9.596064,9.935194,9.282328,-0.21385345,10.130398,5.026302,10.863251,-1.9681082,7.4953527,1.760541,7.4076033,1.4274725,8.035797
Don't Stop,Don't Stop,Biscits,4/28/2023,170196,61,0.0541,0.824,0.608,0.241,0.0747,-8.51,0.0541,127.028,0.48,4,1,1,spotify:track:73Aj6vBOimEVHMMm67YmcU,2023,0.4435668,0.5337201,0.42756322,0.4221111,0.41936952,0.5160723,0.568937,0.47034425,0.5496831,0.47804365,0.4045636,0.45510185,0.2748453,0.31557518,0.27639204,0.29683307,0.3117012,0.31259388,0.29911256,0.281374,0.34344047,0.31945288,0.27033812,0.2985903,-128.37117,106.63239,74.99412,56.449978,4.154065,38.36682,22.146809,23.757978,8.9660845,18.273077,9.056424,22.349789,6.8879185,15.514776,6.9419546,14.285386,-7.071048,14.937539,5.0314403,13.323125,-4.5591254,13.420821,0.053926144,11.523825,-3.9252107,10.476325
Don't Sweat The Technique,Don't Sweat The Technique,Eric B. & Rakim,6/23/1992,262800,58,0.00556,0.737,0.89,0.00171,0.0801,-8.443,0.158,105.848,0.809,4,4,1,spotify:track:48ZUwXrEOhaXLCxvmRYhZv,1992,0.40527284,0.3593637,0.29695824,0.29722673,0.38216063,0.44732752,0.49241543,0.5031153,0.53904074,0.5905004,0.5680603,0.5395085,0.29366755,0.27253294,0.2353517,0.22757515,0.28389558,0.29108033,0.30609864,0.3015751,0.28266037,0.324971,0.29657197,0.33778706,-76.44555,124.571434,76.41856,31.995329,19.241945,22.284004,29.695597,16.158407,3.5298533,12.209106,11.999887,9.051324,-3.7304542,10.798833,11.540699,8.65948,-2.4881783,7.866173,4.0602145,7.737322,-5.297582,7.1588593,5.447449,6.741773,-2.966494,6.4952383
Dopamine,Dopamine,BINA.,12/7/2023,180000,44,0.21,0.558,0.575,0.000189,0.147,-8.184,0.219,160.076,0.654,5,1,1,spotify:track:68sYvkcTeyHm9ODeTRHad4,2023,0.29056963,0.30034083,0.32887915,0.35945556,0.41760746,0.6566279,0.5276252,0.417893,0.5170297,0.4639689,0.47647405,0.33807325,0.24346468,0.27151257,0.2534119,0.27333617,0.24519886,0.32953736,0.29580182,0.26718736,0.32684886,0.27601779,0.31260452,0.25092202,-112.698204,93.30993,99.24286,41.49032,15.886472,28.627785,23.97972,18.06094,10.059196,14.906217,6.422086,14.271787,5.7479067,13.161418,-0.15506418,11.80678,-0.18757306,10.72738,4.76162,11.045315,-3.931744,11.065649,-3.3003058,9.492663,-0.48573628,9.502502
Down Below,Feed Tha Streets II,Roddy Ricch,11/2/2018,224002,69,0.036,0.926,0.454,0.000422,0.0896,-9.932,0.0732,119.969,0.34,4,6,1,spotify:track:4SWWe2OYC4mqf40Gc2RSdl,2018,0.291471,0.3840628,0.318193,0.38202274,0.3310875,0.45641142,0.5845875,0.41034007,0.49580708,0.46694008,0.5293362,0.35437292,0.25274494,0.33448902,0.24314737,0.2984201,0.27039483,0.30638242,0.32579765,0.26199117,0.3553071,0.33362922,0.33888075,0.27771276,-185.12372,111.56112,105.07479,50.604195,30.432936,40.421616,4.5586553,22.566294,-1.6619114,24.208889,1.8497338,23.830511,-4.322561,18.118383,7.723014,17.46978,-1.5101427,14.593814,8.737917,14.583654,2.826988,13.736078,6.2046003,13.005027,2.5849042,12.249263
Drifting,Drifting,Tiësto,6/22/2023,147692,72,0.0718,0.625,0.951,0.585,0.164,-4.866,0.0393,130.001,0.376,4,9,0,spotify:track:4EmH2iRucAgCOnhuJRotUi,2023,0.37094104,0.27581668,0.3580125,0.3290902,0.43877965,0.29287553,0.30031282,0.42381147,0.4149797,0.6038519,0.3740022,0.43106484,0.2902162,0.21584573,0.30825523,0.2532309,0.3276395,0.25960252,0.23992632,0.3229785,0.26788977,0.34765863,0.2205117,0.31507084,-43.113735,105.813934,98.185684,46.188854,2.728781,23.402956,9.0384865,20.943901,-7.391805,14.405073,2.767562,15.385903,-3.0338213,11.814157,1.8425056,11.65678,-5.6027436,10.4986925,5.4657683,12.346404,-5.4968452,10.1911125,-2.3363895,9.045804,-7.567641,8.521891
